,IM_mean,HM_mean,IMF_mean,IM_std,HM_std,IMF_std
ApplicationFrameHost,0.8839850594031504,0.7250532010121331,0.7801711335889311,0.12967648043705213,0.19461320396112625,0.15265665836189965
chrome,0.8516172531290278,0.7431871706589331,0.7502928655444832,0.22451265010606186,0.21937925577221476,0.22051005629082318
CoollePDFConverter,0.8662341243346574,0.75656882806511,0.7596514690059456,0.2536225374437479,0.2509857387002349,0.24367768653526858
EXCEL,0.8937344842362829,0.7226386322519502,0.7699080800354027,0.24194003732066005,0.31959071249595133,0.23250707610658322
explorer,0.8656562303557085,0.7127067516993095,0.7826311869465098,0.11971495877159606,0.19451815229886157,0.16754401667478677
firefox,0.9192937470405557,0.798564884509666,0.8456460725438227,0.08187346803214578,0.22149673938666828,0.1045743723569351
msedge,0.8533818242173242,0.6387303438968583,0.7548264541812293,0.15586121898715555,0.29646715759275744,0.2308331683324728
OneDrive,0.8460029044986151,0.6987353950873125,0.7837577756192418,0.22436771196252212,0.3043919223639968,0.2501109518535788
ONENOTE,0.925410673872826,0.8262689913858259,0.8205881937462611,0.08994012271559673,0.16801592873683113,0.15684775921798905
OUTLOOK,0.8678028502011033,0.7300383758072403,0.7700130695928492,0.1592274050889146,0.1600766222067487,0.1671858196446098
PBIDesktop,0.8427526287163235,0.7418033748084762,0.74803947174139,0.22442333218995777,0.22250738112705257,0.25001365783809115
SearchApp,0.9241195951521879,0.8148043697421943,0.8112623388653024,0.07022531142767793,0.13799391921400123,0.14687873578587335
ShellExperienceHost,0.8545850977191588,0.6914910465068359,0.7430567088774244,0.1821757755829368,0.16848183165407646,0.20644643624831735
Skype,0.9182163548040512,0.8106089294714401,0.793725438018649,0.08128741768156611,0.2192553312098693,0.1589925648947842
Ssms,0.8975495848083044,0.7605688525059299,0.7863127185596774,0.19387786884905778,0.24288980588406647,0.1898488080987755
Teams,0.8649743255197195,0.7767172419550246,0.7581020457208552,0.162783193656354,0.15146722126663734,0.19170244319635724
Overall_Mean,0.8797072961255623,0.7467803993352651,0.7786240639117484,,,
