StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Activity
0,Recording_42,Process_16,2022-02-28T05:47:55+00:00,Press button in window,"System Clock, 11:17 AM, ‎2/‎28/‎2022 in System Tray",,,"[""UIAutomation.PressButton Button: appmask['System Tray']['System Clock, 11:17 AM, \u200e2/\u200e28/\u200e2022']\n""]",2.0,Go to the calendar.,Event_201,Press button in window
1,Recording_42,Process_16,2022-02-28T05:48:16+00:00,Click UI element in window,Data Item '9' in Window 'Date and Time Usernamermation',ShellExperienceHost,Date and Time Usernamermation,"[""UIAutomation.Click Element: appmask['Window \\'Date and Time Usernamermation\\'']['Data Item \\'9\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 5 OffsetY: 4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",3.0,Verify your availability in calendar,Event_202,ShellExperienceHostClick UI element in window
2,Recording_42,Process_16,2022-02-28T05:48:23+00:00,Press button in window,Microsoft Edge (2) - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Microsoft Edge (2) - 1 running window']\n""]",4.0,Open the salesforce crm tool,Event_203,Press button in window
3,Recording_42,Process_16,2022-02-28T05:48:27+00:00,Press button in window,Button 'New Tab' in Window 'Process  ...  - Microsoft​ Edge',msedge,Process advisor | Power Automate - Personal - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Process  ...  - Microsoft\u200b Edge\\'']['Button \\'New Tab\\'']\n""]",5.0,Open the salesforce crm tool,Event_203,msedgePress button in window
4,Recording_42,Process_16,2022-02-28T05:48:31+00:00,Click UI element in window,Hyperlink 'Home |  ... /page/home' in Window 'New tab and  ...  - Microsoft​ Edge',msedge,New tab and 1 more page - Personal - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'New tab and  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Home |  ... /page/home\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 9 OffsetY: 0 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",6.0,Open the salesforce crm tool,Event_203,msedgeClick UI element in window
5,Recording_42,Process_16,2022-02-28T05:48:38+00:00,Press button in window,Button 'Log In' in Window 'Login |  ...  - Microsoft​ Edge',msedge,Login | Salesforce and 1 more page - Personal - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Login |  ...  - Microsoft\u200b Edge\\'']['Button \\'Log In\\'']\n""]",8.0,Open the salesforce crm tool,Event_203,msedgePress button in window
6,Recording_42,Process_16,2022-02-28T05:48:56+00:00,Press button in window,Button 'Log In' in Window 'Login |  ...  - Microsoft​ Edge',msedge,Login | Salesforce and 1 more page - Personal - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Login |  ...  - Microsoft\u200b Edge\\'']['Button \\'Log In\\'']\n""]",9.0,Open the salesforce crm tool,Event_203,msedgePress button in window
7,Recording_42,Process_16,2022-02-28T05:49:04+00:00,Click UI element in window,Hyperlink 'Calendar' in Window 'Home |  ...  - Microsoft​ Edge',msedge,Home | Salesforce and 1 more page - Personal - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Home |  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Calendar\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 5 OffsetY: 0 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",10.0,Arrange the product demo meeting,Event_204,msedgeClick UI element in window
8,Recording_42,Process_16,2022-02-28T05:49:12+00:00,Click UI element in window,Data Item '9' in Window 'Calendar |  ...  - Microsoft​ Edge',msedge,Calendar | Salesforce and 1 more page - Personal - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Calendar |  ...  - Microsoft\u200b Edge\\'']['Data Item \\'9\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 1 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",11.0,Arrange the product demo meeting,Event_204,msedgeClick UI element in window
9,Recording_42,Process_16,2022-02-28T05:49:30+00:00,Click UI element in window,List 'eventListContainer' in Window 'Calendar |  ...  - Microsoft​ Edge',msedge,Calendar | Salesforce and 1 more page - Personal - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Calendar |  ...  - Microsoft\u200b Edge\\'']['List \\'eventListContainer\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -14 OffsetY: 186 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",12.0,Arrange the product demo meeting,Event_204,msedgeClick UI element in window
