,StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Activity
1,1,Recording_1,Process_1,2022-02-21T02:54:51+00:00,Press button in window,Button 'SharePoint' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Button \\'SharePoint\\'']\n""]",3.0,Login to collaborative tool,Event_1,chromePress button in window
2,2,Recording_1,Process_1,2022-02-21T02:54:56+00:00,Click UI element in window,Hyperlink 'Project RoadMap' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Hyperlink \\'Project RoadMap\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 87 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",4.0,Login to collaborative tool,Event_1,chromeClick UI element in window
3,3,Recording_1,Process_1,2022-02-21T02:55:00+00:00,Click UI element in window,Hyperlink 'Documents' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Hyperlink \\'Documents\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -17 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",5.0,Login to collaborative tool,Event_1,chromeClick UI element in window
5,5,Recording_1,Process_1,2022-02-21T02:56:17+00:00,Click UI element in window,Pane in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Pane'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 63 OffsetY: -68 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",7.0, Search the file having feedback form instruction,Event_2,chromeClick UI element in window
6,6,Recording_1,Process_1,2022-02-21T02:56:20+00:00,Click UI element in window,Button 'Close' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Button \\'Close\\''] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: -2 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",8.0, Search the file having feedback form instruction,Event_2,chromeClick UI element in window
7,7,Recording_1,Process_1,2022-02-21T02:56:25+00:00,Prepare a form for employees feedback,Button 'New Tab' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.PressButton Button: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Button \\'New Tab\\'']\n""]",9.0, Search the file having feedback form instruction,Event_2,chromePrepare a form for employees feedback
8,8,Recording_1,Process_1,2022-02-21T02:56:33+00:00,Populate text field in window,Edit 'Address and search bar' in Pane 'SharePoint - Google Chrome - Name'; Text:'zoho forms',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Edit \\'Address and search bar\\''] Text: 'zoho forms' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",10.0, Search the file having feedback form instruction,Event_2,chromePopulate text field in window
10,10,Recording_1,Process_1,2022-02-21T02:56:39+00:00,Click UI element in window,Hyperlink ' Form  ... om › forms' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Hyperlink \\' Form  ... om › forms\\''] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: 37 OffsetY: -9 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]",12.0, Search the file having feedback form instruction,Event_2,chromeClick UI element in window
11,11,Recording_1,Process_1,2022-02-21T02:56:46+00:00,Click UI element in window,Hyperlink 'ACCESS ZOHO FORMS' in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Hyperlink \\'ACCESS ZOHO FORMS\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 25 OffsetY: -9 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]",13.0, Search the file having feedback form instruction,Event_2,chromeClick UI element in window
12,12,Recording_1,Process_1,2022-02-21T02:57:08+00:00,Populate text field in window,Edit in Pane 'SharePoint - Google Chrome - Name'; Text:'Employee Feedback on Leave Policy',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Edit'] Text: 'Employee Feedback on Leave Policy' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",14.0, Search the file having feedback form instruction,Event_2,chromePopulate text field in window
13,13,Recording_1,Process_1,2022-02-21T02:57:26+00:00,Click UI element in window,List Item in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['List Item'] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: 28 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",15.0, Search the file having feedback form instruction,Event_2,chromeClick UI element in window
14,14,Recording_1,Process_1,2022-02-21T02:57:34+00:00,Click UI element in window,List Item 2 in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['List Item 2'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 35 OffsetY: -8 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",16.0, Search the file having feedback form instruction,Event_2,chromeClick UI element in window
15,15,Recording_1,Process_1,2022-02-21T02:57:54+00:00,Populate text field in window,Edit 2 in Pane 'SharePoint - Google Chrome - Name'; Text:'Are you agree with the Leave Policy?',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Edit 2'] Text: 'Are you agree with the Leave Policy?' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",17.0, Search the file having feedback form instruction,Event_2,chromePopulate text field in window
17,17,Recording_1,Process_1,2022-02-21T02:58:02+00:00,Drag and drop UI element in window,Edit 3 in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.DragAndDropElement MouseDownOffsetY: 3 MouseDownOffsetX: 124 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDrag: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Edit 3'] MouseUpOffsetY: 3 MouseUpOffsetX: 9 RectangleEdgePointForMouseUp: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDropOver: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Edit 3'] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]",19.0, Search the file having feedback form instruction,Event_2,chromeDrag and drop UI element in window
18,18,Recording_1,Process_1,2022-02-21T02:58:03+00:00,Populate text field in window,Edit 3 in Pane 'SharePoint - Google Chrome - Name'; Text:'Yes',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Edit 3'] Text: 'Yes' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",20.0, Search the file having feedback form instruction,Event_2,chromePopulate text field in window
19,19,Recording_1,Process_1,2022-02-21T02:58:09+00:00,Drag and drop UI element in window,Edit 4 in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.DragAndDropElement MouseDownOffsetY: 3 MouseDownOffsetX: 116 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.MiddleLeft ControlToDrag: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Edit 4'] ControlToDropOver: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['Edit 4'] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]",21.0, Search the file having feedback form instruction,Event_2,chromeDrag and drop UI element in window
21,21,Recording_1,Process_1,2022-02-21T02:58:14+00:00,Click UI element in window,List Item 3 in Pane 'SharePoint - Google Chrome - Name',chrome,SharePoint - Google Chrome - Name,"[""UIAutomation.Click Element: appmask['Pane \\'SharePoint - Google Chrome - Name\\'']['List Item 3'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -17 OffsetY: 30 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",23.0, Search the file having feedback form instruction,Event_2,chromeClick UI element in window
